c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.2,0.01,0.51,12.51,0.95,1.97,0.01,0.0,0.08,17.06,0.0,0.03,0.0
0.01,0.01,0.01,11.14,8.01,4.99,0.01,0.0,0.01,8.62,0.0,1.22,0.01
0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2
0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.0,0.05,0.0
0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.0,0.05,0.0
0.01,0.05,0.05,0.01,17.5,3.9,0.01,0.0,0.01,11.8,0.0,0.17,1.54
0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0.0,0.05,0.0
0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.0,0.05,0.0
0.01,0.01,0.01,10.96,7.97,5.0,0.01,0.0,0.01,8.55,0.0,1.21,0.01
0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0
0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02
0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0.0,0.03,0.0
0.2,0.01,0.03,14.09,0.01,1.98,0.01,0.0,0.08,16.62,0.0,0.03,0.0
0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0
0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8.0,0.03,0.0
0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0.0,0.03,0.0
0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0
0.01,0.05,0.05,0.01,14.7,1.5,0.01,0.0,0.01,15.3,0.0,0.76,1.16
0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.0,0.0,0.03,0.0
0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0
0.2,0.51,0.52,12.66,1.02,1.99,0.01,0.0,0.01,15.56,0.0,0.03,0.0
0.1,0.51,0.32,12.0,0.01,6.3,0.01,0.04,0.01,14.6,0.0,0.03,0.0
0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0
0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8
0.01,0.01,0.01,0.01,18.5,4.8,0.43,0.0,0.01,8.7,0.0,0.95,0.72
0.02,0.01,1.86,15.9,4.0,0.02,0.01,0.0,0.01,9.2,0.0,0.02,0.05
0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0.0,0.07,0.0
0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0
0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02
0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0
0.01,0.01,0.01,0.01,18.5,4.7,0.01,0.0,0.01,8.8,0.0,1.02,0.71
0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7
0.2,0.01,1.5,12.63,0.94,1.98,0.01,0.0,0.08,13.83,0.0,0.03,0.0
0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11
0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0.0,0.03,0.0
0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0
0.0,0.01,0.01,11.85,10.25,1.47,0.01,0.0,0.01,7.48,0.0,0.43,0.56
0.0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.0,0.03,0.0
0.01,0.01,0.01,0.01,18.5,4.9,0.39,0.0,0.01,8.7,0.0,0.51,0.65
0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.0,0.05,0.0
0.19,0.46,0.49,12.67,0.95,1.49,0.01,0.0,0.01,15.1,0.0,0.03,0.0
0.11,0.01,0.01,9.2,3.7,2.0,0.5,0.0,0.01,16.7,0.0,0.03,0.03
0.19,0.02,0.49,12.54,0.96,1.49,0.46,0.0,0.01,15.1,0.0,0.03,0.0
0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0
0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0
0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0.0,0.04,0.0
0.2,0.02,0.49,12.55,0.94,1.97,0.01,0.0,0.02,15.08,0.0,0.03,0.0
0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.0,0.03,0.0
0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0.0,0.13,0.0
0.2,0.01,1.0,12.6,0.94,1.98,0.21,0.0,0.08,13.77,0.0,0.03,0.0
0.19,0.01,0.49,12.53,0.96,1.48,0.33,0.0,0.01,14.95,0.0,0.03,0.0
0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0
0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03
0.25,0.01,0.01,14.09,0.93,2.0,0.01,0.0,0.08,13.88,0.0,0.03,0.0
0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.0,0.01,9.24,0.0,0.43,0.57
0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0
0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12
0.02,0.01,1.82,13.9,5.1,0.02,0.01,0.0,0.01,8.9,0.0,0.02,0.04
0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71
0.21,0.01,0.01,14.08,0.93,2.0,0.01,0.0,0.08,13.83,0.0,0.03,0.0
0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02
0.0,0.01,0.01,11.11,10.0,1.23,0.01,0.0,0.01,7.51,0.28,0.57,0.59
0.19,0.01,0.5,12.53,0.95,1.48,0.01,0.0,0.01,15.02,0.0,0.03,0.0
0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0
0.04,0.01,0.01,0.01,18.8,6.0,0.01,0.0,0.01,8.0,0.0,0.16,0.42
0.15,0.01,0.01,14.01,0.93,1.99,0.01,0.0,0.08,13.76,0.0,0.03,0.0
0.17,0.01,0.78,12.54,0.95,1.99,0.01,0.0,0.08,13.99,0.0,0.03,0.0
0.21,0.01,0.56,12.54,0.99,1.97,0.34,0.0,0.08,13.76,0.0,0.03,0.0
0.18,0.11,0.09,0.01,17.8,0.02,4.32,0.0,0.01,8.06,0.0,0.11,0.08
0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0
0.01,0.01,1.72,15.7,4.1,0.02,0.01,0.0,0.01,7.4,0.0,0.02,0.04
0.19,0.01,0.73,12.47,0.95,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0
0.22,0.01,0.01,8.5,4.6,1.5,0.28,0.0,0.01,15.3,0.5,0.03,0.03
0.21,0.01,0.5,12.55,0.94,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0
0.23,0.01,0.52,12.47,0.95,1.97,0.01,0.0,0.08,13.78,0.0,0.03,0.0
0.03,0.01,0.01,0.01,18.4,4.9,0.01,0.0,0.01,7.0,0.0,0.15,1.77
0.19,0.01,0.5,12.64,0.98,1.95,0.01,0.0,0.02,13.67,0.0,0.03,0.0
0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0
0.21,0.01,0.01,14.04,0.01,1.99,0.01,0.0,0.08,13.79,0.0,0.03,0.0
0.21,0.01,0.37,12.59,0.96,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0
0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67
0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41
0.01,0.05,0.05,0.01,17.4,4.97,0.01,0.0,0.01,7.9,0.0,0.13,1.5
0.2,0.01,0.3,12.46,0.95,1.97,0.01,0.0,0.08,13.75,0.0,0.03,0.0
0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.0,0.04,0.0
0.02,0.01,0.01,0.01,14.7,0.02,0.01,0.0,0.01,15.5,0.0,0.03,0.43
0.2,0.01,0.01,12.43,1.21,2.01,0.01,0.0,0.08,13.82,0.0,0.03,0.0
0.0,0.01,0.01,14.3,8.3,2.6,0.01,0.0,0.01,4.3,0.0,0.1,0.49
0.0,0.01,0.01,14.3,8.4,2.5,0.01,0.0,0.01,4.3,0.0,0.12,0.47
0.02,0.01,1.93,13.9,6.0,0.02,0.01,0.0,0.01,6.0,0.0,0.03,0.05
0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0
0.19,0.01,0.01,12.61,0.99,1.98,0.01,0.0,0.07,13.79,0.0,0.03,0.0
0.2,0.01,0.01,11.94,2.48,0.99,0.01,0.0,0.1,13.64,0.0,0.03,0.0
0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7
0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7
0.02,0.01,1.92,15.5,3.9,0.02,0.01,0.0,0.01,6.0,0.0,0.04,0.07
0.23,0.01,0.36,12.6,0.95,1.97,0.01,0.0,0.08,12.77,0.0,0.03,0.0
0.25,0.01,0.01,9.0,6.2,1.3,0.29,0.0,0.01,12.2,0.0,0.03,0.03
0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.7,0.0,0.12,0.89
0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.9,0.0,0.12,0.64
0.24,0.01,0.01,8.9,5.1,1.7,0.29,0.0,0.01,13.0,0.0,0.03,0.03
0.22,0.01,0.01,3.03,11.17,1.18,0.01,0.0,0.01,13.89,0.0,0.03,0.01
0.01,0.01,0.01,0.01,15.3,5.1,0.01,0.0,0.01,9.1,0.0,0.6,0.68
0.15,0.01,0.01,9.0,4.8,1.5,0.5,0.0,0.01,13.0,0.0,0.03,0.02
0.2,0.01,0.01,10.53,2.49,1.98,0.01,0.0,0.1,13.67,0.0,0.03,0.0
0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01
0.03,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.98,0.26
0.03,0.01,0.01,0.01,18.3,5.1,0.01,0.0,0.01,6.7,0.0,0.11,0.7
0.1,0.62,0.37,12.2,0.01,6.15,0.01,0.03,0.01,10.2,0.0,0.03,0.0
0.22,0.01,0.01,3.11,11.22,1.19,0.01,0.0,0.01,13.51,0.0,0.01,0.01
0.21,0.01,0.01,3.1,11.18,1.19,0.01,0.0,0.01,13.52,0.0,0.01,0.01
0.23,0.01,0.01,3.1,11.08,1.19,0.01,0.0,0.01,13.49,0.0,0.01,0.01
0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.0,0.01,13.46,0.0,0.01,0.01
0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.0,0.01,13.46,0.0,0.01,0.01
0.03,0.6,0.3,14.5,8.5,2.5,0.01,0.0,0.01,0.01,0.0,1.2,0.0
0.21,0.01,0.01,3.11,11.11,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01
0.23,0.01,0.02,3.12,11.03,1.2,0.01,0.0,0.01,13.45,0.0,0.01,0.01
0.08,0.59,0.3,12.16,0.01,6.3,0.01,0.05,0.01,10.0,0.0,0.03,0.0
0.02,0.01,0.01,0.01,18.1,4.8,0.01,0.0,0.3,6.8,0.0,0.09,0.41
0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49
0.07,0.6,0.3,17.0,7.0,0.02,0.01,0.0,0.01,0.01,0.0,1.2,0.0
0.02,0.01,0.01,5.1,11.2,5.1,0.01,0.0,0.01,6.2,0.0,0.71,0.94
0.02,0.01,0.01,5.1,11.2,5.1,0.49,0.0,0.01,6.3,0.0,0.41,0.74
0.09,2.8,0.32,17.48,4.44,0.02,0.01,0.0,0.01,0.01,0.0,0.9,0.0
0.01,0.01,0.01,5.1,11.2,5.1,0.94,0.0,0.01,6.3,0.0,0.09,0.78
0.02,0.01,0.01,0.01,14.6,5.0,0.43,0.0,0.2,8.9,0.0,0.48,0.2
0.02,0.01,0.01,0.01,14.9,4.8,0.26,0.0,0.01,8.7,0.0,0.36,0.71
0.04,0.44,0.32,12.0,0.01,6.16,0.01,0.03,0.01,10.0,0.0,0.03,0.0
0.04,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.5,0.24
0.21,0.01,0.6,8.2,2.6,1.3,0.29,0.0,0.01,14.2,0.0,0.03,0.02
0.01,0.01,0.01,5.0,11.2,5.0,0.01,0.0,0.01,6.2,0.0,0.09,1.81
0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0
0.07,0.6,0.3,15.0,7.0,2.25,0.01,0.0,0.01,0.01,0.0,1.2,0.0
0.03,0.05,0.17,0.01,16.4,0.02,4.0,0.0,0.01,6.9,0.0,0.1,0.14
0.35,0.07,4.75,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.01,0.01,0.01,5.0,11.1,5.1,0.01,0.0,0.01,6.3,0.0,0.1,1.29
0.09,1.0,0.5,17.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0
0.19,0.01,0.01,6.8,2.8,2.4,0.28,0.0,0.01,14.2,1.3,0.03,0.02
0.09,0.5,0.28,17.12,4.18,2.02,0.01,0.0,0.01,2.02,0.0,0.03,0.0
0.1,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6.0,0.03,0.0
0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0
0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.0,0.01,13.8,0.0,0.01,0.01
0.02,0.01,0.01,5.0,11.1,4.8,0.01,0.0,0.01,6.2,0.0,0.09,0.82
0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.2,0.0,0.03,0.0
0.24,0.01,0.01,9.1,2.8,1.3,0.37,0.0,0.01,12.4,0.0,0.03,0.03
0.23,0.01,0.01,9.0,2.8,1.3,0.3,0.0,0.01,12.5,0.0,0.03,0.03
0.02,0.01,0.01,0.01,13.0,5.0,0.47,0.0,0.01,8.9,0.0,0.2,0.71
0.18,0.01,0.01,9.1,2.8,1.3,0.29,0.0,0.01,12.5,0.0,0.03,0.03
0.24,0.01,0.01,9.0,2.8,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02
0.1,3.0,0.3,17.0,4.2,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.15,0.16,0.05,2.97,10.06,1.0,0.01,0.0,0.01,12.05,0.0,0.01,0.0
0.09,2.16,0.18,16.92,4.26,1.04,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.03,0.01,0.01,12.64,8.44,2.24,0.01,0.0,0.01,0.01,0.0,1.31,0.01
0.02,0.1,4.27,0.01,18.1,0.02,0.01,0.0,0.01,0.01,0.0,0.07,0.09
0.15,0.16,0.06,2.01,10.08,1.22,0.01,0.0,0.01,12.15,0.0,0.01,0.0
0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09
0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0
0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09
0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05
0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02
0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0.0,1.05,0.01
0.03,0.01,0.01,12.54,8.38,2.24,0.01,0.0,0.01,0.01,0.0,1.03,0.01
0.04,0.01,0.01,12.49,8.3,2.23,0.01,0.0,0.01,0.01,0.0,1.07,0.01
0.04,0.01,0.01,12.51,8.32,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.05
0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1
0.12,0.18,0.06,2.01,10.07,1.0,0.01,0.0,0.01,12.1,0.0,0.01,0.0
0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05
0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02
0.03,0.01,0.01,12.56,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.02,0.01
0.04,0.01,0.01,12.49,8.3,2.21,0.01,0.0,0.01,0.01,0.0,1.02,0.09
0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.0,0.01,0.01,0.0,1.04,0.01
0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02
0.2,0.01,0.01,8.2,2.1,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02
0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03
0.13,1.0,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0
0.14,3.0,0.24,15.69,4.14,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.04,0.01,0.01,12.58,8.39,2.2,0.01,0.0,0.01,0.01,0.0,0.77,0.02
0.12,0.54,1.2,12.02,2.0,3.01,0.35,0.05,0.41,4.0,0.0,0.03,0.0
0.01,0.07,0.11,11.3,10.3,2.05,0.01,0.0,0.01,0.01,0.0,0.24,0.23
0.04,0.01,0.04,12.44,8.26,2.19,0.01,0.0,0.01,0.01,0.0,0.77,0.02
0.4,0.16,0.01,12.14,0.01,5.84,0.96,0.0,0.01,4.92,0.0,0.03,0.0
0.03,0.01,0.01,11.2,9.61,0.02,0.01,0.0,0.01,0.01,4.0,0.39,0.26
0.04,0.01,0.01,12.38,8.25,2.2,0.01,0.0,0.01,0.01,0.0,0.81,0.03
0.01,0.01,0.01,0.01,21.0,2.1,0.01,0.0,0.01,0.01,0.0,0.13,1.9
0.01,0.1,3.3,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.11
0.01,0.01,0.01,10.5,10.3,3.1,0.01,0.0,0.01,0.01,0.0,0.36,0.11
0.02,0.74,0.1,10.2,10.2,1.98,0.01,0.0,0.01,0.01,0.0,0.3,0.22
0.01,0.05,0.02,10.6,10.6,2.06,0.01,0.0,0.01,0.01,0.0,0.36,0.08
0.1,0.5,0.3,12.0,2.0,0.02,0.01,0.0,0.01,5.0,6.0,0.03,0.0
0.0,0.1,0.41,10.2,10.4,2.0,0.01,0.0,0.01,0.01,0.0,0.25,0.23
0.01,0.05,0.1,7.7,12.2,3.05,0.01,0.0,0.01,0.01,0.0,0.63,0.2
0.02,0.11,3.18,0.01,18.3,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.0,0.07,0.1,10.4,10.4,2.2,0.01,0.0,0.01,0.01,0.0,0.25,0.24
0.0,0.11,0.3,10.2,10.4,2.05,0.01,0.0,0.01,0.01,0.0,0.2,0.22
0.01,0.08,0.05,9.4,10.7,3.2,0.01,0.0,0.01,0.01,0.0,0.27,0.22
0.03,0.01,0.01,10.7,9.46,2.45,0.01,0.0,0.01,0.01,0.0,0.46,0.28
0.0,0.05,0.02,11.2,9.9,2.05,0.01,0.0,0.01,0.01,0.0,0.13,0.3
0.0,0.36,0.08,10.2,10.3,2.02,0.01,0.0,0.01,0.01,0.0,0.3,0.23
0.0,0.44,0.08,10.1,10.3,2.0,0.01,0.0,0.01,0.01,0.0,0.3,0.22
0.01,0.11,0.18,10.2,10.3,2.05,0.01,0.0,0.01,0.01,0.0,0.27,0.22
0.01,0.03,0.03,10.2,10.5,2.2,0.01,0.0,0.01,0.01,0.0,0.23,0.24
0.01,0.12,0.06,10.3,10.2,2.05,0.01,0.0,0.01,0.01,0.0,0.31,0.21
0.01,0.05,0.09,7.65,12.2,3.05,0.01,0.0,0.01,0.01,0.0,0.46,0.2
0.02,0.24,0.1,10.2,10.3,1.94,0.01,0.0,0.01,0.01,0.0,0.24,0.23
0.0,0.05,0.02,10.4,10.0,2.05,0.01,0.0,0.01,0.01,0.0,0.35,0.31
0.01,0.01,0.01,0.01,17.5,2.1,2.0,0.0,0.01,0.01,0.0,0.12,2.0
0.02,0.48,0.1,10.0,10.0,1.92,0.01,0.0,0.01,0.01,0.0,0.29,0.21
0.0,0.05,0.02,10.3,10.2,2.06,0.01,0.0,0.01,0.01,0.0,0.35,0.17
0.0,0.12,0.07,9.9,10.5,2.1,0.01,0.0,0.01,0.01,0.0,0.23,0.22
0.36,0.22,0.01,6.75,0.01,5.75,0.96,0.0,0.01,9.46,0.0,0.03,0.0
0.02,0.06,0.13,10.4,9.9,2.15,0.01,0.0,0.01,0.01,0.0,0.09,0.13
0.03,0.05,0.11,7.5,12.1,3.05,0.01,0.0,0.01,0.01,0.0,0.25,0.2
0.0,0.05,0.03,10.3,10.3,2.06,0.01,0.0,0.01,0.01,0.0,0.09,0.09
0.01,0.07,0.1,7.7,12.0,3.02,0.01,0.0,0.01,0.01,0.0,0.08,0.06
0.03,0.01,0.01,11.3,8.64,0.02,0.01,0.0,0.01,0.01,1.84,0.39,0.27
0.01,0.08,0.12,9.0,8.5,3.25,0.01,0.0,0.01,0.01,0.0,0.9,0.23
0.02,0.06,0.08,7.4,10.3,3.25,0.01,0.0,0.01,0.01,0.0,0.91,0.23
0.0,0.12,0.08,10.4,9.2,1.97,0.01,0.0,0.01,0.01,0.0,0.26,0.21
0.02,0.01,0.01,0.01,17.9,3.1,0.9,0.0,0.01,0.01,0.0,0.07,1.4
0.03,0.01,0.01,10.7,10.3,0.02,0.01,0.0,0.01,0.01,0.0,0.21,0.31
0.03,0.01,0.01,0.01,18.1,2.2,0.01,0.0,0.01,0.01,0.0,0.1,2.5
0.03,0.01,0.01,0.01,18.1,2.2,0.01,0.0,0.01,0.01,0.0,0.11,2.5
0.01,0.06,2.58,0.01,17.8,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.07
0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19
0.01,0.05,0.1,7.7,10.4,3.07,0.01,0.0,0.01,0.01,0.0,0.67,0.2
0.01,0.01,0.01,0.01,17.8,3.1,1.0,0.0,0.01,0.01,0.33,0.05,1.1
0.03,0.01,0.01,0.01,17.3,0.02,1.8,0.0,2.5,0.01,0.0,0.1,1.07
0.38,0.18,0.01,7.43,0.01,9.67,0.96,0.0,0.01,4.91,0.0,0.03,0.0
0.4,0.18,0.01,9.69,0.01,5.84,0.96,0.0,0.01,4.87,0.0,0.03,0.0
0.02,0.1,2.02,0.01,18.4,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0
0.01,0.05,0.09,7.6,10.3,3.05,0.01,0.0,0.01,0.01,0.0,0.52,0.2
0.02,0.01,0.01,0.01,17.5,0.02,1.9,0.0,0.01,0.01,0.0,0.09,2.06
0.01,0.05,0.06,5.32,12.95,2.93,0.01,0.0,0.01,0.01,0.0,0.51,0.2
0.01,0.03,0.01,0.01,18.11,3.07,0.01,0.0,0.01,0.01,0.0,0.09,1.41
0.01,0.02,0.01,0.01,18.2,3.06,0.01,0.0,0.01,0.01,0.0,0.09,1.26
0.29,0.01,0.01,1.02,10.46,2.0,0.1,0.0,0.01,7.17,1.28,0.03,0.01
0.0,0.01,0.01,0.01,18.1,3.1,0.01,0.0,0.01,0.01,0.0,0.05,1.4
0.03,0.01,0.01,0.01,18.5,0.02,0.01,0.0,0.01,0.01,3.0,0.1,1.4
0.0,0.07,0.08,7.5,10.5,3.3,0.01,0.0,0.01,0.01,0.0,0.21,0.23
0.01,0.04,0.1,7.95,10.2,3.08,0.01,0.0,0.01,0.01,0.0,0.08,0.05
0.01,0.08,0.12,8.9,8.35,3.25,0.01,0.0,0.01,0.01,0.0,0.25,0.2
0.01,0.06,0.05,7.8,10.2,3.2,0.01,0.0,0.01,0.01,0.0,0.06,0.1
0.03,0.07,0.04,8.9,8.45,3.25,0.01,0.0,0.01,0.01,0.0,0.15,0.23
